Title,ISBN,Author,Published Year,Publisher,Status,
Tuck Everlasting,978-0000000047,Natalie Babbitt,1975,Amazon Digital Services- Inc.,Available,
Christine,978-0000000048,Stephen King- Marie Milpois,1983,Amazon Digital Services- Inc.,Available,
Are You My Mother?,978-0000000049,P.D. Eastman,1960,Penguin Group (USA) LLC,Available,
The Story of Art,978-0000000050,E.H. Gombrich,1950,Hachette Book Group,Borrowed,
Scarlet,978-0000000051,Marissa Meyer,2013,Amazon Digital Services- Inc.,Reserved,
Rich Dad - Poor Dad,978-0000000052,Robert T. Kiyosaki,1997,Random House LLC,Borrowed,
Silence,978-0000000053,Becca Fitzpatrick,2011,Amazon Digital Services- Inc.,Available,
The Magicians,978-0000000054,Lev Grossman,2009,Macmillan,Available,
ãƒ‡ã‚¹ãƒŽãƒ¼ãƒˆ #1 (Desu NÅto) Taikutsu (é€€å±ˆ),978-0000000055,Tsugumi Ohba- Takeshi Obata,2004,Amazon Digital Services- Inc.,Borrowed,
A Great and Terrible Beauty,978-0000000056,Libba Bray,2003,Penguin Group (USA) LLC,Borrowed,
Everything Is Illuminated,978-0000000057,Jonathan Safran Foer,2002,Amazon Digital Services- Inc.,Available,
The Bourne Supremacy,978-0000000058,Robert Ludlum,1986,Penguin Group (USA) LLC,Available,
Easy,978-0000000059,Tammara Webber,2012,Amazon Digital Services- Inc.,Borrowed,
David Copperfield,978-0000000060,Charles Dickens- Jeremy Tambling,1849,Hachette Book Group,Borrowed,
The Absolutely True Diary of a Part-Time Indian,978-0000000061,Sherman Alexie- Ellen Forney,2007,Random House LLC,Borrowed,
ÐœÐ°ÑÑ‚ÐµÑ€ Ð¸ ÐœÐ°Ñ€Ð³Ð°Ñ€Ð¸Ñ‚Ð°,978-0000000062,Mikhail Bulgakov- Katherine Tiernan O'Connor- Diana Burgin- Ellendea Proffer,1967,Amazon Digital Services- Inc.,Available,
A Wizard of Earthsea,978-0000000063,Ursula K. Le Guin,1968,Amazon Digital Services- Inc.,Available,
Because of Winn-Dixie,978-0000000064,Kate DiCamillo- Chris Sheban,2000,Amazon Digital Services- Inc.,Borrowed,
A Separate Peace,978-0000000065,John Knowles,1959,Amazon Digital Services- Inc.,Available,
The Rainmaker,978-0000000066,John Grisham,1995,Amazon Digital Services- Inc.,Available,
Don Quijote de La Mancha,978-0000000067,Miguel de Cervantes Saavedra- Roberto GonzÃ¡lez EchevarrÃ­a- John Rutherford,1605,Hachette Book Group,Borrowed,
Assassin's Apprentice,978-0000000068,Robin Hobb,1995,Amazon Digital Services- Inc.,Borrowed,
The Restaurant at the End of the Universe,978-0000000069,Douglas Adams,1980,Penguin Group (USA) LLC,Available,
Torment,978-0000000070,Lauren Kate,2010,Amazon Digital Services- Inc.,Available,
The Tale of Peter Rabbit,978-0000000071,Beatrix Potter,1901,Penguin Group (USA) LLC,Borrowed,
The Silver Chair,978-0000000072,C.S. Lewis- Pauline Baynes,1953,Hachette Book Group,Available,
The Hero of Ages,978-0000000073,Brandon Sanderson,2008,Amazon Digital Services- Inc.,Borrowed,
Girl- Interrupted,978-0000000074,Susanna Kaysen,1993,Hachette Book Group,Available,
Are You There- Vodka? It's Me- Chelsea,978-0000000075,Chelsea Handler,2007,Hachette Book Group,Available,
Jonathan Livingston Seagull,978-0000000076,Richard Bach- Russell Munson,1970,Amazon Digital Services- Inc.,Available,
City of Heavenly Fire,978-0000000077,Cassandra Clare,2014,Amazon Digital Services- Inc.,Borrowed,
Love You Forever,978-0000000078,Robert Munsch- Sheila McGraw,1986,Amazon Digital Services- Inc.,Available,
Cell,978-0000000079,Stephen King,2006,HarperCollins Publishers,Borrowed,
The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,978-0000000080,Daniel James Brown,2013,Hachette Book Group,Available,
The Silmarillion,978-0000000081,J.R.R. Tolkien- Christopher Tolkien- Ted Nasmith,1977,Random House LLC,Available,
The Drawing of the Three,978-0000000082,Stephen King,1987,HarperCollins Publishers,Available,
The Forgotten Garden,978-0000000083,Kate Morton,2008,Amazon Digital Services- Inc.,Available,
Der ProzeÃŸ,978-0000000084,Franz Kafka- Edwin Muir- Willa Muir- Max Brod,1925,Amazon Digital Services- Inc.,Borrowed,
This Lullaby,978-0000000085,Sarah Dessen,2002,HarperCollins Publishers,Available,
Plain Truth,978-0000000086,Jodi Picoult,2000,Amazon Digital Services- Inc.,Available,
Orange Is the New Black: My Year in a Women's Prison,978-0000000087,Piper Kerman,2010,Amazon Digital Services- Inc.,Borrowed,
The Hound of the Baskervilles,978-0000000088,Arthur Conan Doyle- Anne Perry,1902,Macmillan,Available,
Thinking- Fast and Slow,978-0000000089,Daniel Kahneman,2011,Amazon Digital Services- Inc.,Borrowed,
The Mists of Avalon,978-0000000090,Marion Zimmer Bradley,1982,Amazon Digital Services- Inc.,Available,
Are You There God? It's Me- Margaret,978-0000000091,Judy Blume,1970,Amazon Digital Services- Inc.,Reserved,
Nights in Rodanthe,978-0000000092,Nicholas Sparks,2002,Amazon Digital Services- Inc.,Available,
Mr. Mercedes,978-0000000093,Stephen King,2014,Macmillan,Borrowed,
All Together Dead,978-0000000094,Charlaine Harris,2007,Random House LLC,Reserved,
Midwives,978-0000000095,Chris Bohjalian,1997,Random House LLC,Reserved,
The Polar Express,978-0000000096,Chris Van Allsburg,1985,Amazon Digital Services- Inc.,Reserved,
The True Story of the Three Little Pigs,978-0000000097,Jon Scieszka- Lane Smith,1989,Amazon Digital Services- Inc.,Borrowed,
Patriot Games,978-0000000098,Tom Clancy,1987,Amazon Digital Services- Inc.,Available,
Veronika decide morrer,978-0000000099,Paulo Coelho- Margaret Jull Costa,1998,Penguin Group (USA) LLC,Available,
Lean In: Women- Work- and the Will to Lead,978-0000000100,Sheryl Sandberg- Nell Scovell,2013,Amazon Digital Services- Inc.,Available,
Dead as a Doornail,978-0000000101,Charlaine Harris,2005,Penguin Group (USA) LLC,Borrowed,
Shatter Me (Shatter Me- #1),978-0000000102,Tahereh Mafi,2011,Amazon Digital Services- Inc.,Borrowed,
Starship Troopers,978-0000000103,Robert A. Heinlein,1959,Hachette Book Group,Available,
I've Got Your Number,978-0000000104,Sophie Kinsella,2011,Amazon Digital Services- Inc.,Available,
Sofies Verden,978-0000000105,Jostein Gaarder- Paulette MÃ¸ller,1991,Penguin Group (USA) LLC,Available,
,978-0000000106,Mark Cotta Vaz,2011,Penguin Group (USA) LLC,Available,
The Martian Chronicles,978-0000000107,Ray Bradbury,1950,Amazon Digital Services- Inc.,Borrowed,
A Visit From the Goon Squad,978-0000000108,Jennifer Egan,2010,Macmillan,Borrowed,
Heidi,978-0000000109,Johanna Spyri- Angelo Rinaldi- Beverly Cleary,1880,Penguin Group (USA) LLC,Available,
Prey,978-0000000110,Michael Crichton,2002,Amazon Digital Services- Inc.,Borrowed,
The Last Battle,978-0000000111,C.S. Lewis,1956,Amazon Digital Services- Inc.,Borrowed,
World Without End,978-0000000112,Ken Follett,2007,Random House LLC,Available,
Chosen: A House of Night Novel,978-0000000113,P.C. Cast- Kristin Cast,2008,Amazon Digital Services- Inc.,Available,
Slammed,978-0000000114,Colleen Hoover,2012,Amazon Digital Services- Inc.,Borrowed,
Beastly (Beastly- #1- Kendra Chronicles- #1),978-0000000115,Alex Flinn,2007,Amazon Digital Services- Inc.,Reserved,
Tales of Caunterbury,978-0000000116,Geoffrey Chaucer- Nevill Coghill,1390,Amazon Digital Services- Inc.,Available,
Baby Proof,978-0000000117,Emily Giffin,2006,Macmillan,Available,
Inheritance,978-0000000118,Christopher Paolini,2011,Random House LLC,Available,
ã„ã¡ãã‚…ã†ã¯ã¡ã‚ˆã‚“ [Ichi-KyÅ«-Hachi-Yon],978-0000000119,Haruki Murakami- Jay Rubin- Philip Gabriel,2009,Amazon Digital Services- Inc.,Available,
Uncle Tom's Cabin or Life Among the Lowly,978-0000000120,Harriet Beecher Stowe,1852,HarperCollins Publishers,Available,
Le FantÃ´me de l'OpÃ©ra,978-0000000121,Gaston Leroux- Alexander Teixeira de Mattos,1909,Amazon Digital Services- Inc.,Borrowed,
Definitely Dead (Sookie Stackhouse- #6),978-0000000122,Charlaine Harris,2006,Simon and Schuster Digital Sales Inc,Available,
Ensaio Sobre a Cegueira,978-0000000123,JosÃ© Saramago- Giovanni Pontiero,1995,Amazon Digital Services- Inc.,Available,
Freedom,978-0000000124,Jonathan Franzen,2010,Random House LLC,Available,
Crossed,978-0000000125,Ally Condie,2011,Amazon Digital Services- Inc.,Available,
I'd Tell You I Love You- But Then I'd Have to Kill You,978-0000000126,Ally Carter,2006,Hachette Book Group,Available,
The White Tiger,978-0000000127,Aravind Adiga,2008,Random House LLC,Available,
The Corrections,978-0000000128,Jonathan Franzen,2001,Amazon Digital Services- Inc.,Available,
Dreams from My Father,978-0000000129,Barack Obama,1995,HarperCollins Publishers,Available,
Congo,978-0000000130,Michael Crichton,1980,Random House LLC,Available,
Alexander and the Terrible- Horrible- No Good- Very Bad Day,978-0000000131,Judith Viorst- Ray Cruz,1972,Amazon Digital Services- Inc.,Available,
Interpreter of Maladies,978-0000000132,Jhumpa Lahiri,1999,Penguin Group (USA) LLC,Available,
A People's History of the United States: 1492 to Present,978-0000000133,Howard Zinn,1980,Amazon Digital Services- Inc.,Available,
Breakfast at Tiffany's,978-0000000134,Truman Capote,1958,Amazon Digital Services- Inc.,Available,
The Passage,978-0000000135,Justin Cronin,2010,Amazon Digital Services- Inc.,Available,
Anansi Boys,978-0000000136,Neil Gaiman,2005,Amazon Digital Services- Inc.,Available,
Along for the Ride,978-0000000137,Sarah Dessen,2009,Penguin Group (USA) LLC,Borrowed,
Everything I Never Told You,978-0000000138,Celeste Ng,2014,Amazon Digital Services- Inc.,Available,
La casa de los espÃ­ritus,978-0000000139,Isabel Allende- Magda Bogin,1982,Simon and Schuster Digital Sales Inc,Available,
The Dead Zone,978-0000000140,Stephen King,1979,HarperCollins Publishers,Borrowed,
The Mysterious Affair at Styles,978-0000000141,Agatha Christie- Î¡Î¿Î¶Î¯Ï„Î± Î£ÏŽÎºÎ¿Ï…,1920,Amazon Digital Services- Inc.,Available,
Murder in the Calais Coach,978-0000000142,Agatha Christie,1934,Amazon Digital Services- Inc.,Borrowed,
Americanah,978-0000000143,Chimamanda Ngozi Adichie,2013,Amazon Digital Services- Inc.,Available,
Suzanne's Diary for Nicholas,978-0000000144,James Patterson,2001,Random House LLC,Available,
Firestarter,978-0000000145,Stephen King,1980,Macmillan,Available,
Entwined with You,978-0000000146,Sylvia Day,2013,Amazon Digital Services- Inc.,Available,
Born to Run: A Hidden Tribe- Superathletes- and the Greatest Race the World Has Never Seen,978-0000000147,Christopher McDougall,2009,Amazon Digital Services- Inc.,Available,
The Storied Life of A.J. Fikry,978-0000000148,Gabrielle Zevin,2014,Random House LLC,Available,
Mad About Madeline,978-0000000149,Ludwig Bemelmans,1939,Amazon Digital Services- Inc.,Available,
Think and Grow Rich,978-0000000150,Napoleon Hill,1937,Amazon Digital Services- Inc.,Reserved,
Little House In The Big Woods,978-0000000151,Laura Ingalls Wilder- Garth Williams,1932,Amazon Digital Services- Inc.,Available,
Jonathan Strange & Mr Norrell,978-0000000152,Susanna Clarke,2004,Hachette Book Group,Available,
A Bend in the Road,978-0000000153,Nicholas Sparks,2001,HarperCollins Publishers,Available,
The House of Hades,978-0000000154,Rick Riordan,2013,Amazon Digital Services- Inc.,Available,
Gone,978-0000000155,Michael Grant,2008,Amazon Digital Services- Inc.,Available,
The Wedding,978-0000000156,Nicholas Sparks,2003,Amazon Digital Services- Inc.,Available,
1776,978-0000000157,David McCullough,2005,Random House LLC,Available,
Under the Banner of Heaven: A Story of Violent Faith,978-0000000158,Jon Krakauer,2003,Amazon Digital Services- Inc.,Available,
Beautiful Ruins,978-0000000159,Jess Walter,2012,Random House LLC,Borrowed,
The Audacity of Hope: Thoughts on Reclaiming the American Dream,978-0000000160,Barack Obama,2006,Amazon Digital Services- Inc.,Available,
On Writing: A Memoir of the Craft,978-0000000161,Stephen King,1999,Amazon Digital Services- Inc.,Available,
Firefly Lane,978-0000000162,Kristin Hannah,2008,Amazon Digital Services- Inc.,Available,
Sphere,978-0000000163,Michael Crichton,1987,Random House LLC,Available,
Love the One You're With,978-0000000164,Emily Giffin,2008,Simon and Schuster Digital Sales Inc,Available,
The Silkworm,978-0000000165,Robert Galbraith- J.K. Rowling,2014,Amazon Digital Services- Inc.,Available,
The Vampire Lestat,978-0000000166,Anne Rice,1985,Amazon Digital Services- Inc.,Available,
State of Wonder,978-0000000167,Ann Patchett,2011,Amazon Digital Services- Inc.,Available,
The Silver Linings Playbook,978-0000000168,Matthew Quick,2008,Amazon Digital Services- Inc.,Available,
Vingt Mille Lieues Sous les Mers,978-0000000169,Jules Verne- Anthony Bonner,1869,Amazon Digital Services- Inc.,Borrowed,
The Constant Princess,978-0000000170,Philippa Gregory,2005,Penguin Group (USA) LLC,Available,
Mrs Dalloway,978-0000000171,Virginia Woolf- Maureen Howard,1925,Amazon Digital Services- Inc.,Available,
HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,978-0000000172,Jonas Jonasson- Rod Bradbury,2009,Macmillan,Available,
Bag of Bones,978-0000000173,Stephen King,1998,Amazon Digital Services- Inc.,Available,
The Cider House Rules,978-0000000174,John Irving,1985,Amazon Digital Services- Inc.,Available,
Thinner,978-0000000175,Richard Bachman- Stephen King,1984,Amazon Digital Services- Inc.,Borrowed,
Le tour du monde en quatre-vingts jours,978-0000000176,Jules Verne- Michael Glencross- Brian W. Aldiss,1872,Penguin Group (USA) LLC,Available,
Walk Two Moons,978-0000000177,Sharon Creech,1994,Amazon Digital Services- Inc.,Available,
Onze minutos,978-0000000178,Paulo Coelho- Margaret Jull Costa,2003,Amazon Digital Services- Inc.,Available,
Nine Stories,978-0000000179,J.D. Salinger,1953,Amazon Digital Services- Inc.,Available,
Julie & Julia: 365 Days- 524 Recipes- 1 Tiny Apartment Kitchen,978-0000000180,Julie Powell,2005,Random House LLC,Available,
Unwind,978-0000000181,Neal Shusterman,2007,Macmillan,Available,
Drums of Autumn (Outlander- #4),978-0000000182,Diana Gabaldon,1996,Amazon Digital Services- Inc.,Reserved,
Prodigy,978-0000000183,Marie Lu,2013,Amazon Digital Services- Inc.,Borrowed,
The Tragedie of King Lear,978-0000000184,William Shakespeare,1603,Amazon Digital Services- Inc.,Available,
Death of a Salesman,978-0000000185,Arthur Miller,1949,Penguin Group (USA) LLC,Borrowed,
The Choice,978-0000000186,Nicholas Sparks,2007,Amazon Digital Services- Inc.,Reserved,
,978-0000000187,Kate Egan,2012,HarperCollins Publishers,Available,
The Sound and the Fury,978-0000000188,William Faulkner,1929,Hachette Book Group,Available,
A New Earth: Awakening to Your Life's Purpose,978-0000000189,Eckhart Tolle,2005,Amazon Digital Services- Inc.,Available,
BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,978-0000000190,Tite Kubo,2002,Penguin Group (USA) LLC,Available,
,978-0000000191,Allie Brosh,2013,Penguin Group (USA) LLC,Available,
The Shadow Rising,978-0000000192,Robert Jordan,1992,HarperCollins Publishing,Available,
Shantaram,978-0000000193,Gregory David Roberts,2003,Amazon Digital Services- Inc.,Borrowed,
From Dead to Worse,978-0000000194,Charlaine Harris,2008,Amazon Digital Services- Inc.,Available,
The Waste Lands,978-0000000195,Stephen King- Ned Dameron,1991,Amazon Digital Services- Inc.,Available,
The Bone Collector,978-0000000196,Jeffery Deaver,1997,Random House LLC,Available,
Der Vorleser,978-0000000197,Bernhard Schlink- Carol Brown Janeway,1995,Amazon Digital Services- Inc.,Available,
Brown Bear- Brown Bear- What Do You See?,978-0000000198,Bill Martin Jr.- Eric Carle,1967,Hachette Book Group,Available,
Hyperion,978-0000000199,Dan Simmons,1989,Amazon Digital Services- Inc.,Borrowed,
The Pearl of the World,978-0000000200,John Steinbeck,1947,Amazon Digital Services- Inc.,Borrowed,
The Exorcist,978-0000000201,William Peter Blatty,1971,Amazon Digital Services- Inc.,Available,
The Short Second Life of Bree Tanner,978-0000000202,Stephenie Meyer,2009,Amazon Digital Services- Inc.,Available,
Snow Falling on Cedars,978-0000000203,David Guterson,1994,Amazon Digital Services- Inc.,Available,
Roots,978-0000000204,Alex Haley,1976,Macmillan,Available,
Batman: The Killing Joke,978-0000000205,Alan Moore- Brian Bolland- Tim Sale,1988,Random House LLC,Available,
Invisible Man,978-0000000206,Ralph Ellison,1952,Amazon Digital Services- Inc.,Available,
A Long Way Gone. Memoirs of a Boy Soldier,978-0000000207,Ishmael Beah,2007,Amazon Digital Services- Inc.,Available,
Mrs. Frisby and the Rats of NIMH,978-0000000208,Robert C. O'Brien,1971,Amazon Digital Services- Inc.,Available,
Different Seasons,978-0000000209,Stephen King,1982,Simon and Schuster Digital Sales Inc,Borrowed,
The Little House Collection,978-0000000210,Laura Ingalls Wilder- Garth Williams,1953,Random House LLC,Borrowed,
The Girls' Guide to Hunting and Fishing,978-0000000211,Melissa Bank,1998,Amazon Digital Services- Inc.,Borrowed,
Wool Omnibus,978-0000000212,Hugh Howey,2012,Penguin Group (USA) LLC,Available,
Lamb: The Gospel According to Biff- Christ's Childhood Pal,978-0000000213,Christopher Moore,2002,Random House LLC,Available,
The Power of Now,978-0000000214,Eckhart Tolle,1997,Penguin Group (USA) LLC,Borrowed,
Let's Pretend This Never Happened (A Mostly True Memoir),978-0000000215,Jenny Lawson,2012,Amazon Digital Services- Inc.,Available,
The Lies of Locke Lamora,978-0000000216,Scott Lynch,2006,Simon and Schuster Digital Sales Inc,Borrowed,
Sabriel,978-0000000217,Garth Nix,1995,Random House LLC,Available,
Dead and Gone,978-0000000218,Charlaine Harris,2009,Random House LLC,Available,
The Storyteller,978-0000000219,Jodi Picoult,2013,Amazon Digital Services- Inc.,Borrowed,
Obsidian,978-0000000220,Jennifer L. Armentrout,2011,Penguin Group (USA) LLC,Available,
Life- the Universe and Everything,978-0000000221,Douglas Adams,1982,Hachette Book Group,Available,
Crown of Midnight,978-0000000222,Sarah J. Maas,2013,Amazon Digital Services- Inc.,Available,
Scott Pilgrim- Volume 1: Scott Pilgrim's Precious Little Life,978-0000000223,Bryan Lee O'Malley,2004,Random House LLC,Available,
Half Broke Horses: A True Life Novel,978-0000000224,Jeannette Walls,2008,Penguin Group (USA) LLC,Reserved,
Mort,978-0000000225,Terry Pratchett,1987,Amazon Digital Services- Inc.,Available,
The Iron King (The Iron Fey- #1),978-0000000226,Julie Kagawa,2010,Macmillan,Available,
Lonesome Dove,978-0000000227,Larry McMurtry,1985,Amazon Digital Services- Inc.,Available,
Stiff: The Curious Lives of Human Cadavers,978-0000000228,Mary Roach,2003,Random House LLC,Available,
Bloodlines,978-0000000229,Richelle Mead,2011,Macmillan,Available,
Ender's Shadow,978-0000000230,Orson Scott Card,1998,Amazon Digital Services- Inc.,Reserved,
Twenties Girl,978-0000000231,Sophie Kinsella,2009,Random House LLC,Available,
Schindler's Ark,978-0000000232,Thomas Keneally,1982,Amazon Digital Services- Inc.,Borrowed,
The Bluest Eye,978-0000000233,Toni Morrison,1970,Amazon Digital Services- Inc.,Available,
The White Queen,978-0000000234,Philippa Gregory,2009,Amazon Digital Services- Inc.,Available,
The Autobiography of Malcolm X,978-0000000235,Malcolm X- Alex Haley,1965,Random House LLC,Available,
Preludes & Nocturnes,978-0000000236,Neil Gaiman- Sam Kieth- Mike Dringenberg- Malcolm Jones III- Todd Klein- Karen Berger,1989,Amazon Digital Services- Inc.,Available,
Seabiscuit,978-0000000237,Laura Hillenbrand,1999,HarperCollins Publishers,Available,
Shutter Island,978-0000000238,Dennis Lehane,2003,Penguin Group (USA) LLC,Borrowed,
The Complete Sherlock Holmes,978-0000000239,Arthur Conan Doyle,1894,Penguin Group (USA) LLC,Available,
The Tragedy of Julius Caesar,978-0000000240,William Shakespeare- Roma Gill,1599,Amazon Digital Services- Inc.,Available,
In the Garden of Beasts: Love- Terror- and an American Family in Hitler's Berlin,978-0000000241,Erik Larson,2011,Amazon Digital Services- Inc.,Available,
Î Î¿Î»Î¹Ï„ÎµÎ¯Î±,978-0000000242,Plato- Desmond Lee,-380,Amazon Digital Services- Inc.,Available,
The Taming of the Shrew,978-0000000243,William Shakespeare,1593,Hachette Book Group,Available,
Cress,978-0000000244,Marissa Meyer,2014,Macmillan,Borrowed,
Just Kids,978-0000000245,Patti Smith,2010,Random House LLC,Borrowed,
,978-0000000246,Phaidon Press,1997,Penguin Group (USA) LLC,Available,
Jemima J,978-0000000247,Jane Green,2001,Amazon Digital Services- Inc.,Available,
Notre-Dame de Paris,978-0000000248,Victor Hugo- Walter J. Cobb,1831,Amazon Digital Services- Inc.,Borrowed,
A Fine Balance,978-0000000249,Rohinton Mistry,1996,Simon and Schuster Digital Sales Inc,Available,
Calvin and Hobbes,978-0000000250,Bill Watterson- G.B. Trudeau,1987,Penguin Group (USA) LLC,Available,
Specials,978-0000000251,Scott Westerfeld,2006,Amazon Digital Services- Inc.,Available,
The Awakening,978-0000000252,Kate Chopin,1899,Amazon Digital Services- Inc.,Available,
Hunted,978-0000000253,P.C. Cast- Kristin Cast,2009,Random House LLC,Reserved,
For One More Day,978-0000000254,Mitch Albom,2006,Amazon Digital Services- Inc.,Available,
Clear and Present Danger,978-0000000255,Tom Clancy,1989,Hachette Book Group,Available,
Falling Up,978-0000000256,Shel Silverstein,1996,Amazon Digital Services- Inc.,Available,
Sh*t My Dad Says,978-0000000257,Justin Halpern,2010,Hachette Book Group,Borrowed,
Trainspotting,978-0000000258,Irvine Welsh- Eric Lindor Fall,1993,Random House LLC,Available,
Foundation and Empire,978-0000000259,Isaac Asimov,1952,Amazon Digital Services- Inc.,Available,
The Four Agreements: A Practical Guide to Personal Freedom- A Toltec Wisdom Book,978-0000000260,Miguel Ruiz,1997,Penguin Group (USA) LLC,Available,
House Rules,978-0000000261,Jodi Picoult,2010,HarperCollins Publishers,Borrowed,
BrÃ¼der Grimm: Kinder- und HausmÃ¤rchen,978-0000000262,Jacob Grimm- Wilhelm Grimm- Josef Scharl- Padraic Colum- Joseph Campbell- Margaret Raine Hunt- James Stern,1812,Amazon Digital Services- Inc.,Reserved,
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,978-0000000263,E.L. Konigsburg,1967,Amazon Digital Services- Inc.,Available,
Doctor Sleep,978-0000000264,Stephen King,2013,Amazon Digital Services- Inc.,Available,
About a Boy,978-0000000265,Nick Hornby,1998,Penguin Group (USA) LLC,Available,
On Dublin Street,978-0000000266,Samantha Young,2012,Random House LLC,Borrowed,
Crazy Love: Overwhelmed by a Relentless God,978-0000000267,Francis Chan- Danae Yankoski- Chris Tomlin,2008,Macmillan,Available,
One Fish- Two Fish- Red Fish- Blue Fish,978-0000000268,Dr. Seuss,1960,Simon and Schuster Digital Sales Inc,Available,
Watchers,978-0000000269,Dean Koontz,1987,Amazon Digital Services- Inc.,Available,
The Story of My Life,978-0000000270,Helen Keller,1902,Amazon Digital Services- Inc.,Available,
This Is Where I Leave You,978-0000000271,Jonathan Tropper,2009,Amazon Digital Services- Inc.,Available,
